iter,samples,selfplay_wr,policy_ce,value_mse,vs_random_wr,vs_bots_wr,vs_dragapult,vs_abomasnow,vs_iono,selfplay_secs,wall_secs
1,5769,0.2266,1.66,0.405,0.7,0.0167,0.0,0.05,0.0,1571.0524,1596.2168
2,6902,0.3359,1.7766,0.2093,0.7167,0.0417,0.025,0.1,0.0,3810.846,5424.0295
3,7224,0.2891,1.7287,0.1556,0.65,0.0083,0.0,0.025,0.0,2224.9434,7662.3331
4,6974,0.2188,1.6756,0.1082,0.75,0.0,0.0,0.0,0.0,1705.4079,9380.4038
5,5830,0.2734,1.6259,0.1277,0.6333,0.0,0.0,0.0,0.0,2562.3929,11955.746
6,6603,0.3828,1.6005,0.1136,0.75,0.0,0.0,0.0,0.0,2100.3773,14073.0523
7,5972,0.2969,1.596,0.0816,0.8167,0.0,0.0,0.0,0.0,2897.3563,16984.8199
8,5630,0.3125,1.5743,0.0551,0.75,0.0,0.0,0.0,0.0,2450.5726,19451.3748
9,6263,0.3203,1.5453,0.0563,0.8167,0.0,0.0,0.0,0.0,1560.633,21029.3717
10,5850,0.25,1.5237,0.0584,0.8,0.0,0.0,0.0,0.0,1567.6509,22614.9939
11,6056,0.3672,1.4794,0.0466,0.8667,0.0,0.0,0.0,0.0,1540.3123,24173.0361
12,5865,0.3281,1.4561,0.0613,0.8167,0.0083,0.0,0.025,0.0,1536.3331,25727.4805
13,6098,0.4062,1.4514,0.0571,0.95,0.0083,0.025,0.0,0.0,1599.3736,27343.8761
14,5952,0.3594,1.4376,0.0562,0.8667,0.0083,0.0,0.025,0.0,2155.0696,29516.0309
15,5962,0.3828,1.4309,0.0588,0.9333,0.0083,0.0,0.0,0.025,1555.7734,31089.0902
16,6352,0.381,1.4191,0.0495,0.9333,0.0,0.0,0.0,0.0,2610.7024,33717.6203
17,6447,0.375,1.3941,0.0431,0.8333,0.0083,0.025,0.0,0.0,1683.8624,35419.118
18,5570,0.4141,1.3811,0.0427,0.9,0.0167,0.025,0.025,0.0,1478.1241,36914.0938
19,5710,0.3438,1.3879,0.057,0.9167,0.0,0.0,0.0,0.0,1522.3787,38454.6518
20,6253,0.3203,1.3779,0.0466,0.85,0.0083,0.0,0.025,0.0,1860.34,40334.0303
21,6985,0.3594,1.3766,0.0377,0.8167,0.0083,0.0,0.025,0.0,1869.6414,42221.8826
22,6970,0.3672,1.3816,0.0435,0.8833,0.0083,0.025,0.0,0.0,1829.529,44069.3247
23,5990,0.3828,1.3664,0.0353,0.85,0.0083,0.0,0.025,0.0,1550.9028,45639.0311
24,6536,0.4062,1.3718,0.0333,0.8833,0.0167,0.025,0.025,0.0,1739.8696,47397.332
